iter	Passed	Remaining
410	3623	5193
411	3631	5182
412	3639	5173
413	3647	5163
414	3656	5154
415	3664	5144
416	3672	5134
417	3680	5124
418	3688	5114
419	3696	5104
420	3704	5094
421	3712	5084
422	3720	5074
423	3727	5064
424	3737	5056
425	3745	5046
426	3756	5041
427	3765	5031
428	3773	5022
429	3781	5012
430	3789	5003
431	3797	4993
432	3805	4983
433	3813	4973
434	3821	4963
435	3829	4953
436	3837	4943
437	3845	4933
438	3853	4924
439	3861	4915
440	3870	4905
441	3877	4895
442	3885	4886
443	3893	4876
444	3901	4866
445	3910	4856
446	3918	4847
447	3926	4837
448	3934	4828
449	3943	4819
450	3951	4809
451	3958	4799
452	3966	4789
453	3974	4780
454	3982	4770
455	3991	4762
456	4000	4753
457	4009	4744
458	4017	4735
459	4025	4725
460	4034	4716
461	4042	4707
462	4051	4698
463	4059	4689
464	4068	4680
465	4076	4670
466	4085	4662
467	4093	4653
468	4101	4644
469	4110	4634
470	4118	4626
471	4126	4616
472	4135	4607
473	4144	4599
474	4153	4590
475	4163	4583
476	4171	4573
477	4179	4564
478	4187	4554
479	4195	4545
480	4204	4536
481	4212	4527
482	4220	4517
483	4229	4508
484	4236	4498
485	4244	4488
486	4251	4478
487	4261	4470
488	4269	4461
489	4277	4451
490	4284	4441
491	4292	4431
492	4300	4422
493	4308	4413
494	4316	4404
495	4325	4394
496	4333	4385
497	4341	4375
498	4349	4366
499	4357	4357
500	4366	4348
501	4373	4339
502	4382	4330
503	4390	4320
504	4399	4312
505	4407	4303
506	4416	4294
507	4424	4285
508	4432	4275
509	4441	4267
510	4449	4258
511	4457	4248
512	4465	4239
513	4473	4230
514	4482	4221
515	4490	4211
516	4498	4202
517	4507	4193
518	4514	4184
519	4522	4174
520	4530	4165
521	4539	4157
522	4547	4147
523	4556	4139
524	4564	4129
525	4572	4120
526	4580	4111
527	4589	4102
528	4597	4093
529	4606	4084
530	4613	4075
531	4621	4065
532	4630	4056
533	4638	4048
534	4646	4038
535	4655	4029
536	4662	4020
537	4671	4012
538	4680	4002
539	4688	3993
540	4696	3984
541	4704	3975
542	4712	3966
543	4721	3957
544	4729	3948
545	4738	3939
546	4749	3933
547	4757	3924
548	4765	3914
549	4774	3906
550	4781	3896
551	4789	3887
552	4797	3877
553	4805	3868
554	4813	3859
555	4822	3850
556	4830	3841
557	4838	3832
558	4845	3822
559	4854	3813
560	4861	3804
561	4870	3795
562	4877	3786
563	4885	3776
564	4893	3767
565	4901	3758
566	4909	3749
567	4917	3740
568	4925	3731
569	4934	3722
570	4941	3712
571	4950	3704
572	4957	3694
573	4966	3685
574	4974	3676
575	4982	3667
576	4991	3659
577	5000	3651
578	5008	3641
579	5016	3632
580	5024	3623
