iter	Logloss
332	0.1417714276
333	0.1417259796
334	0.1416491913
335	0.1415574043
336	0.1414564944
337	0.1413826215
338	0.1413156845
339	0.1411796206
340	0.1411178791
341	0.1410358563
342	0.1409736297
343	0.1409283673
344	0.1408040047
345	0.1407282875
346	0.1406877292
347	0.1405790119
348	0.1405003953
349	0.1404678317
350	0.1403549209
351	0.1403072885
352	0.1402410006
353	0.1401917304
354	0.1400550062
355	0.1400184004
356	0.1399853305
357	0.1399401046
358	0.1398640484
359	0.1398037637
360	0.1397081906
361	0.1396699788
362	0.1395470053
363	0.1394960124
364	0.1394540873
365	0.1394211229
366	0.1393901028
367	0.1393171259
368	0.1392689
369	0.1392156198
370	0.1391804956
371	0.1391248752
372	0.1390607717
373	0.1390031442
374	0.1389555481
375	0.1389046656
376	0.1388367643
377	0.1387749638
378	0.1387347241
379	0.1386380045
380	0.1385796435
381	0.1385246703
382	0.1384795302
383	0.1384162003
384	0.138333162
385	0.1382683004
386	0.1381816217
387	0.1381428624
388	0.1380813684
389	0.1380181424
390	0.1379679496
391	0.1379091413
392	0.1378514312
393	0.1378099843
394	0.1377333559
395	0.1376801434
396	0.1376188968
397	0.1374883583
398	0.1374051276
399	0.137361031
400	0.1373265645
401	0.1372586806
402	0.1371821055
403	0.1371248912
404	0.1370532267
405	0.1369932151
406	0.1369230846
407	0.1368511971
408	0.1367399095
409	0.1366979075
410	0.1366520313
411	0.1366131244
412	0.1365621322
413	0.1364986283
414	0.1364404035
415	0.1363642409
416	0.136260252
417	0.1362036886
418	0.1361591588
419	0.1361323306
420	0.13609998
421	0.1360611334
422	0.1360240952
423	0.1359977248
424	0.1359450589
425	0.1358515117
426	0.1358060021
427	0.1357511789
428	0.135669502
429	0.1356314126
430	0.1355902542
431	0.1355529223
432	0.1355277502
433	0.1354333427
434	0.1353882048
435	0.1353531383
436	0.1353204082
437	0.1352540893
438	0.1352121908
439	0.1351422207
440	0.1351042885
441	0.1350498416
442	0.1350006781
443	0.1349533437
444	0.1348783807
445	0.1348106952
446	0.1347501673
447	0.1346563466
448	0.1345948592
449	0.1345125458
450	0.1344671213
451	0.1344577518
452	0.1344031979
453	0.134318817
454	0.1342468924
455	0.1341764772
456	0.1341474189
457	0.1341231585
458	0.1340885987
459	0.134049692
460	0.13398884
461	0.1339425809
462	0.1338912257
463	0.1338628375
464	0.1338020084
465	0.1337563972
466	0.1337126343
467	0.1336234203
468	0.1335629856
469	0.1335019112
470	0.1334509831
471	0.1334060817
472	0.1333498617
473	0.133281111
474	0.1332725539
475	0.1331957763
476	0.1331416518
477	0.1330842827
478	0.1330527951
479	0.1329919488
480	0.132920307
481	0.1328604892
482	0.1327930228
483	0.1327499868
484	0.1327423117
485	0.1327106253
486	0.1327035136
487	0.1326653286
488	0.1326347863
489	0.1325905525
490	0.1325608141
491	0.1325299187
492	0.1324806305
493	0.1324504816
494	0.1324042962
495	0.1323784122
496	0.132351531
497	0.1323193983
498	0.132267993
499	0.1322155657
500	0.1321684972
501	0.1321330543
502	0.1320897521
503	0.1320529705
504	0.1320020853
505	0.1319500432
506	0.1318986688
507	0.131832831
508	0.1317850672
509	0.1317286287
510	0.131678764
511	0.1316290929
512	0.1315622597
513	0.131539652
514	0.1314861378
515	0.1314323048
516	0.1313504744
517	0.1313069715
518	0.1312579716
519	0.1312450961
520	0.131204726
521	0.131168678
522	0.1311365782
523	0.1310788557
524	0.1310250641
525	0.1309771564
526	0.130908353
527	0.1308371487
528	0.1308015928
529	0.1307414553
530	0.1307146943
531	0.1306799505
532	0.1306171632
533	0.1305583677
534	0.1305385194
535	0.1305010539
536	0.1304797435
537	0.1304377499
538	0.1303864684
539	0.1303443129
540	0.1302998363
541	0.1302429828
542	0.1302075655
543	0.1301291737
544	0.1300794687
545	0.1300451607
546	0.1299951512
547	0.129900272
548	0.1298263306
549	0.1298052395
550	0.1297749053
551	0.1297302614
552	0.1297140529
553	0.1296657053
554	0.129642268
555	0.1295987852
556	0.1295513452
557	0.1295267834
558	0.1295001028
559	0.1294424489
560	0.1294165457
561	0.1293905846
562	0.1293507118
563	0.1293235426
564	0.1292853026
565	0.1292443404
566	0.1291856795
567	0.1291550166
568	0.1291026255
569	0.1290547364
570	0.1290368315
571	0.128977054
572	0.1289531377
573	0.1289123203
574	0.1288632786
575	0.1288078168
576	0.1287711353
577	0.1287254863
578	0.1286957158
579	0.1286527489
580	0.1286270721
581	0.1285573533
582	0.1285068857
583	0.1284750087
584	0.1284457572
585	0.1284128441
586	0.1283888892
587	0.1283654021
588	0.1283290903
589	0.1282862599
590	0.1282431272
591	0.1281915787
592	0.1281073096
593	0.1280700504
594	0.1280247554
595	0.127966508
596	0.1279407794
597	0.1278983451
598	0.1278560938
599	0.1278220695
600	0.1277942022
601	0.1277626801
602	0.1277266036
603	0.1276843189
604	0.1276305864
605	0.1275918279
606	0.1275147949
607	0.1274614495
608	0.127416263
609	0.1273886281
610	0.1273477821
611	0.127296937
612	0.1272567624
613	0.1272124373
614	0.1271927624
615	0.1271642548
616	0.12709919
617	0.1270648263
618	0.1269953222
619	0.1269621407
620	0.12693055
621	0.1268686646
622	0.1268192909
623	0.1267951356
624	0.1267637507
625	0.1266975703
626	0.126663381
627	0.1266002145
628	0.1265471693
629	0.126515315
630	0.1264449719
631	0.1264051442
632	0.1263737364
633	0.1263254807
634	0.126289669
635	0.1262551474
636	0.1262105142
637	0.1262022666
638	0.1261349095
639	0.1260969339
640	0.1260723095
641	0.1260645872
642	0.1260480225
643	0.1260070015
644	0.1259734903
645	0.1259168408
646	0.1258825635
647	0.1258529803
648	0.1258135423
649	0.1257821073
650	0.1257123765
651	0.1256861947
652	0.1256488446
653	0.1256148419
654	0.1255680025
655	0.125515755
656	0.1254749918
657	0.1254041786
658	0.1253826353
659	0.1253548319
660	0.1253172521
661	0.12527975
662	0.1252329718
663	0.1252002981
664	0.1251601747
665	0.1251348186
666	0.1250888697
667	0.1250603259
668	0.1250269306
669	0.125006961
670	0.1249529137
671	0.1249065529
672	0.1248564691
673	0.1248282845
674	0.124789353
675	0.1247342133
676	0.1246810963
677	0.1246562634
678	0.1246169916
679	0.124590411
680	0.1245412021
681	0.1245181338
682	0.1245064688
683	0.1244626627
684	0.1244266189
685	0.1243899631
686	0.1243660953
687	0.1243280055
688	0.1242911149
689	0.1242591371
690	0.1242242188
691	0.1241717154
692	0.1241487852
693	0.1241278847
694	0.1240938319
695	0.1240588972
696	0.124030874
697	0.1240088902
698	0.1239892668
699	0.123919677
700	0.1238808424
701	0.1238507042
702	0.1237847834
703	0.1237550709
704	0.1237186955
705	0.1236895788
706	0.1236812139
707	0.1236342292
708	0.1236264106
709	0.1235937182
710	0.1235725459
711	0.1235234848
712	0.1234901901
713	0.1234589394
714	0.1234113252
715	0.1233902698
716	0.1233642175
717	0.1233136238
718	0.1232830812
719	0.123243462
720	0.123214152
721	0.1231665705
722	0.1231252045
723	0.1231082175
724	0.1230662865
725	0.1230345527
726	0.1230140136
727	0.1229699614
728	0.1229072712
729	0.1228818169
730	0.1228661898
731	0.1228384438
732	0.1228249435
733	0.1227944075
734	0.1227675272
735	0.1227242543
736	0.1226986343
737	0.1226695786
738	0.1226411573
739	0.1226028566
740	0.1225714458
741	0.1225418994
742	0.1225059975
743	0.1224801861
744	0.1224464016
745	0.1224039554
746	0.1223502893
747	0.1223315354
748	0.1223115912
749	0.1222608633
750	0.1222386968
751	0.1221890957
752	0.1221395451
753	0.1221112128
754	0.1220812679
755	0.1220483848
756	0.1219883162
757	0.1219490815
758	0.1218849103
759	0.1218639082
760	0.1218401621
761	0.121792112
762	0.121748256
763	0.1217131415
764	0.1216697174
765	0.1216197269
766	0.1215903999
767	0.1215849174
768	0.1215564585
769	0.1215045771
770	0.1214856219
771	0.121467546
772	0.1214283364
773	0.1214165242
774	0.1213843421
775	0.1213313174
776	0.1213079565
777	0.1212581329
778	0.121234199
779	0.1211998755
780	0.1211629259
781	0.1211326739
782	0.1210783339
783	0.1210233886
784	0.1209949003
785	0.1209740503
786	0.1209101843
787	0.1208965283
788	0.1208719152
789	0.1208420741
790	0.1208181337
791	0.1208063369
792	0.1207761885
793	0.1207634969
794	0.1207093429
795	0.12068113
796	0.1206258348
797	0.1206055281
798	0.1205929885
799	0.1205515218
800	0.1205116457
801	0.1204935673
802	0.1204786671
803	0.120454939
804	0.1204278409
805	0.1203902629
806	0.1203639499
807	0.1203524214
808	0.1203209456
809	0.120294433
810	0.1202630354
811	0.1202426968
812	0.1202214424
813	0.1201856141
814	0.1201582743
815	0.1200882976
816	0.120047663
817	0.1200229202
818	0.1199831746
819	0.119961378
820	0.1199455177
821	0.119915149
822	0.1198988698
823	0.1198850316
824	0.1198629547
825	0.1198192502
826	0.1198006889
827	0.1197734079
828	0.119740859
829	0.1197046809
830	0.1196739711
831	0.1196401726
832	0.1196115764
833	0.1195790768
834	0.1195518625
835	0.1195310502
836	0.1194995796
837	0.119477711
838	0.1194357503
839	0.1193910786
840	0.1193413085
841	0.1193077405
842	0.1192511785
843	0.119230896
844	0.1192163204
845	0.1191880745
846	0.1191640812
847	0.1191408702
848	0.1190917151
849	0.1190613836
850	0.1190328052
851	0.1190032454
852	0.1189663552
853	0.1189404633
854	0.1188973628
855	0.1188717779
856	0.1188488183
857	0.1188190504
858	0.1187989909
859	0.1187640449
860	0.1187178501
861	0.118681635
862	0.1186287683
863	0.1186084563
864	0.1185697893
865	0.1185462977
866	0.118504266
867	0.1184725759
868	0.1184470452
869	0.1184054467
870	0.1183510643
871	0.118323078
872	0.1182833421
873	0.1182381461
874	0.1182112125
875	0.1181774481
876	0.1181445069
877	0.118126374
878	0.1181014631
879	0.1180632246
880	0.118021242
881	0.1179823784
882	0.117957997
883	0.1179224072
884	0.1179015577
885	0.1178478677
886	0.117816265
887	0.1177782226
888	0.1177458127
889	0.1176983652
890	0.1176673922
891	0.1176342531
892	0.1176142819
893	0.1175653267
894	0.1175329706
895	0.1175172794
896	0.1175083895
897	0.1175052563
898	0.1174696624
899	0.1174521866
900	0.1174296247
901	0.1174038612
902	0.1173794712
903	0.1173335631
904	0.1172983984
905	0.1172753083
906	0.1172244657
907	0.1171943466
908	0.1171518713
909	0.117100535
910	0.117071839
911	0.1170472007
912	0.1170219899
913	0.117009234
914	0.1169775192
915	0.1169240167
916	0.1168726078
917	0.1168451837
918	0.1168076392
919	0.1167868509
920	0.1167532083
921	0.1167075405
922	0.1166747031
923	0.1166589333
924	0.1166219838
925	0.1165935047
926	0.1165534889
927	0.116527865
928	0.1164853911
929	0.116443017
930	0.1164077463
931	0.1163725594
932	0.1163433375
933	0.1162952086
934	0.1162699167
935	0.1162208211
936	0.116200099
937	0.1161661754
938	0.1161196182
939	0.1160789778
940	0.1160458415
941	0.1160116648
942	0.1159697356
943	0.1159432999
944	0.11592532
945	0.1158825649
946	0.1158441011
947	0.1158022375
948	0.1157785524
949	0.1157574649
950	0.1157239003
951	0.1156995154
952	0.1156710984
953	0.1156125645
954	0.1155872829
955	0.1155515601
956	0.1155167036
957	0.1154728149
958	0.1154297896
959	0.1153895193
960	0.1153619444
961	0.115327137
962	0.1152846686
963	0.1152688989
964	0.1152326552
965	0.1151892992
966	0.115142258
967	0.1151023556
968	0.1150594084
969	0.1150306248
970	0.1150025994
971	0.1149606013
972	0.1149177708
973	0.1148893475
974	0.1148510957
975	0.1148228087
976	0.1147731582
977	0.1147482049
978	0.1147051636
979	0.1146525893
980	0.1146283451
981	0.114619241
982	0.1145933946
983	0.1145652978
984	0.114517733
985	0.1144910639
986	0.1144588711
987	0.1144019624
988	0.1143635404
989	0.1143395817
990	0.1143146176
991	0.1143032032
992	0.114266951
993	0.1142208336
994	0.114191296
995	0.1141532476
996	0.1141190512
997	0.1141007657
998	0.1140589145
999	0.1140179413
